state_name,state,year,Population,Employment,Unemployment ,Unemployment rate,Marginally Food Insecure,Food Insecure,Very Low Food Secure,Gross State Product,Number of low income uninsured children,Percent Low Income Unisured Children,Personal income,Workers' compensation,AFDC/TANF Recipients,AFDC/TANF Caseloads,Food Stamp/SNAP Recipients,Food Stamp/SNAP Caseloads,AFDC/TANF Benefit for 2-Person family,AFDC/TANF Benefit for 3-person family,AFDC/TANF benefit for 4-person family,FS/SNAP Benefit for 1-person family,FS/SNAP Benefit for 2-person family,FS/SNAP Benefit for 3-person family,FS/SNAP Benefit for 4-person family,AFDC/TANF_FS 2-Person Benefit,AFDC/TANF_FS 3-Person Benefit,AFDC/TANF_FS 4-Person Benefit,Child-only AFDC/TANF cases,SSI-Federal,SSI-State,Total SSI,SSI_FS Benefit,Number of Poor (thousands),Poverty Rate,Governor is Democrat (1=Yes),Number in Lower House Democrat,Number in Lower House Republican,Fraction of State House that is Democrat,Number in Upper House Democrat,Number in Upper House Republican,Fraction of State Senate that is Democrat,EITC Phase-In Rate No Dependents,EITC Phase-In Rate 1 Dependent,EITC Phase-In Rate 2 Dependents,EITC Maximum Credit No Dependents,EITC Maximum Credit 1 Dependent,EITC Maximum Credit 2 Dependents,EITC Phase-Out Rate No Dependents,EITC Phase-Out Rate 1 Dependent,EITC Phase-Out Rate 2 Dependents,State EITC Rate,Wisconsin EITC Rate 2 Dependents,Wisconsin EITC Rate 3 Dependents,Refundable State EITC (1=Yes),Federal Minimum Wage,State Minimum Wage,SSI recipients,SSI recipients--Aged,SSI recipients--Blind,SSI recipients--Disabled,Medicaid beneficiaries,WIC participation,NSLP Free Participation,NSLP Reduced Participation,NSLP Total Participation,SBP Free Participation,SBP Reduced Participation,SBP Total Participation
MD,21,2000,5311034,2711382,100275,3.60,,,,193530,64.0,4.6,187645959,250743,72147,29313,219180,101048,328,417,503,127,234,335,426,562,750,901,10196,513,0,513,609,386,7.4,1,99,41,0.71,32,15,0.68,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.150,,,0,5.15,5.15,88073,15726,745,71602,549454,94194,172785,36155,392414,76184,8286,98423
MA,22,2000,6361104,3273281,92292,2.70,,,,291555,56.0,3.6,244457594,87412,101452,44189,231829,110234,486,579,668,127,234,335,426,697,863,1016,15477,513,129,642,699,618,9.8,0,130,29,0.82,31,8,0.79,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.100,,,1,5.15,6.00,167784,45959,4251,117574,925181,113842,189189,32024,528225,87583,5273,107427
MI,23,2000,9952450,4953421,190495,3.70,,,,353766,106.0,3.9,298721877,60125,207010,74231,602857,269430,371,459,563,127,234,335,426,605,779,943,23623,513,14,527,619,967,9.9,0,58,51,0.53,16,22,0.42,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,209608,19413,1892,188303,1066052,213049,336607,63079,802805,128544,12590,169914
MN,24,2000,4933692,2720492,87176,3.10,,,,193443,40.0,3.0,159485064,111050,115749,39040,196050,91099,437,532,621,127,234,335,426,663,830,983,8229,513,81,594,666,276,5.7,0,70,64,0.52,42,24,0.64,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.250,,,1,5.15,5.15,64084,10152,721,53211,464534,90093,134331,50662,562471,55486,10765,99395
MS,25,2000,2848353,1239859,74295,5.70,,,,66244,62.0,7.7,61420821,24101,33801,14970,275856,108993,146,170,194,127,234,335,426,380,505,620,8228,513,0,513,609,418,14.9,1,84,36,0.70,34,18,0.65,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,128791,22440,1257,105094,479328,95836,250303,36194,397111,141323,12621,171967
MO,26,2000,5607285,2875336,97756,3.30,,,,188110,39.0,2.6,157035085,55125,124763,46776,423320,182254,234,292,342,127,234,335,426,468,627,768,12307,513,0,513,609,505,9.2,1,85,76,0.53,19,15,0.56,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,112230,12877,987,98366,790328,123738,222317,50591,586760,109495,14303,159531
MT,27,2000,903773,446552,22313,4.80,,,,22013,24.0,10.2,21322624,71419,12948,4555,59466,25280,374,469,564,127,234,335,426,608,786,944,917,513,0,513,609,126,14.1,0,35,65,0.35,16,33,0.33,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,13845,1342,125,12378,70063,21288,30533,8505,79000,10616,1413,15020
NE,28,2000,1713820,923198,26564,2.80,,,,57423,23.0,5.0,49644698,7349,24037,9538,82414,35130,293,364,435,127,234,335,426,527,699,853,2971,513,7,520,614,145,8.6,0,,,,,,,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,21221,2382,239,18600,188298,32793,60063,22247,220042,22387,3668,36572
NV,29,2000,2018741,1015221,47624,4.50,,,,75588,68.0,11.2,63000846,21444,15906,6274,60905,28291,289,348,407,127,234,335,426,523,683,833,1137,513,36,549,634,180,8.8,0,25,17,0.60,9,12,0.43,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,25405,6972,644,17789,100565,38781,54894,13658,113726,24720,3588,34565
NH,30,2000,1239882,675541,18713,2.70,,,,44401,8.0,2.5,42503727,10651,14035,5841,36266,18095,506,575,638,127,234,335,426,711,860,995,1650,513,27,540,628,56,4.5,1,147,248,0.37,9,15,0.38,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,11577,1006,119,10452,82031,17049,20955,6542,103961,7907,1079,16437
NJ,31,2000,8430621,4130310,157473,3.70,,,,360675,110.0,5.4,330112256,232319,130317,51630,344677,152358,322,424,488,127,234,335,426,556,755,890,18572,513,31,544,631,612,7.3,0,32,48,0.40,16,24,0.40,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,146350,34048,1080,111222,689106,127013,268676,49363,585571,70875,5466,86998
NM,32,2000,1821204,810024,42269,5.00,,,,55733,81.0,14.8,42647413,26053,72343,23655,169343,63534,360,439,519,127,234,335,426,594,765,912,93,513,0,513,609,312,17.5,0,42,28,0.60,25,17,0.60,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.000,,,0,5.15,4.25,46662,8930,566,37166,311748,57802,124776,20853,192374,60809,6827,77587
NY,33,2000,19001780,8751441,415531,4.50,,,,816979,298.0,6.1,670894816,1764121,723793,258702,1438568,720035,468,577,687,127,234,335,426,684,862,1030,58324,513,87,600,670,2604,13.9,0,95,52,0.65,26,35,0.43,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.200,,,1,5.15,5.15,617167,138971,3370,474826,2753674,466818,1036623,133741,1789676,370653,30655,465215
NC,34,2000,8081614,3969235,154577,3.70,,,,279588,158.0,7.5,225146238,52525,99553,45725,488247,209232,236,272,297,127,234,335,426,470,607,723,22876,513,0,513,609,1000,12.5,1,59,61,0.49,30,20,0.60,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,191053,33990,2093,154970,954384,190258,355088,83831,821586,186923,26769,268436
ND,35,2000,642023,335780,10101,2.90,,,,18263,10.0,6.4,16610687,119829,7524,2901,31824,13604,363,457,549,127,234,335,426,597,778,933,871,513,0,513,609,65,10.4,0,26,71,0.27,18,29,0.38,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,8167,1351,80,6736,45141,14303,20932,7595,80367,7300,1191,12743
OH,36,2000,11363543,5573154,233882,4.00,,,,392042,169.0,5.7,325227532,1725851,245085,97969,609717,279174,305,373,461,127,234,335,426,539,708,871,37227,513,0,513,609,1117,10.0,0,39,60,0.39,12,20,0.38,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.000,,,0,5.15,4.25,239911,17526,2248,220137,1076549,242921,359477,77328,995968,147127,11427,184866
OK,37,2000,3454365,1609522,51523,3.10,,,,91973,105.0,11.7,85675144,174384,35472,14316,253287,107098,225,292,361,127,234,335,426,459,627,787,5860,513,53,566,646,503,14.9,0,65,36,0.64,33,15,0.69,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,72140,10782,866,60492,436887,108239,184951,43786,374309,103987,15250,145155
OR,38,2000,3429708,1716954,93196,5.10,,,,118375,72.0,7.9,99004242,595295,39031,17058,234387,114368,395,460,565,127,234,335,426,629,780,944,6738,513,2,515,610,371,10.9,1,29,31,0.48,10,20,0.33,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.050,,,0,5.15,6.50,51936,7238,634,44064,392480,86061,116434,30182,266059,66682,9238,97546
PA,39,2000,12284173,5830902,254931,4.20,,,,410577,126.0,4.3,374449638,249837,249721,89899,777112,352491,330,421,514,127,234,335,426,564,752,909,28243,513,27,540,628,1033,8.6,0,99,104,0.49,20,30,0.40,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,283969,36547,2457,244965,1446323,230914,371290,80303,1013043,138296,13509,187166
RI,40,2000,1050268,520758,22646,4.20,,,,34409,8.0,2.9,31719233,10873,45161,16324,74256,33422,449,554,634,127,234,335,426,671,846,993,2658,513,64,577,654,106,10.2,0,84,16,0.84,42,8,0.84,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.260,,,0,5.15,5.65,27778,4606,226,22946,156340,21783,34009,4427,63304,10706,457,12221
SC,41,2000,4024223,1917365,70794,3.60,,,,116741,69.0,6.9,101104226,140801,41324,17502,295335,121945,162,204,245,127,234,335,426,396,539,671,8459,513,0,513,609,441,11.1,1,52,71,0.42,25,21,0.54,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,107469,17162,1583,88724,661503,108204,242208,40509,470932,129840,13004,167196
SD,42,2000,755844,397678,11007,2.70,,,,23474,9.0,4.8,20604374,7061,6755,2802,42887,16425,380,430,478,127,234,335,426,614,759,883,1527,513,15,528,619,79,10.7,0,22,48,0.31,13,22,0.37,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,12642,1999,110,10533,76155,20409,33146,10788,104646,13016,1566,17868
TN,43,2000,5703719,2756498,115041,4.00,,,,183018,52.0,3.6,156755965,61616,145473,56148,496031,215336,142,185,226,127,234,335,426,376,520,652,27044,513,0,513,609,759,13.5,0,61,38,0.62,18,15,0.55,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,164202,23118,1663,139421,1346184,148662,272893,51514,621630,135591,16925,192065
TX,44,2000,20944499,9896002,451845,4.40,,,,746433,990.0,15.9,593589129,186009,342383,127880,1332785,489303,174,201,241,127,234,335,426,408,536,667,43399,513,0,513,609,3204,15.5,0,82,68,0.55,14,17,0.45,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.000,,,0,5.15,3.35,409162,115402,5725,288035,1925885,737206,1399965,229727,2450504,728512,76419,945887
UT,45,2000,2244502,1097915,38121,3.40,,,,70150,44.0,5.8,55596240,130208,22151,8410,81917,32616,362,451,528,127,234,335,426,596,773,918,2539,513,0,513,609,170,7.6,0,21,54,0.28,9,20,0.31,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,20130,2096,270,17764,131404,57549,74162,32844,269491,22594,4073,32383
VT,46,2000,609618,326742,9056,2.70,,,,18380,3.0,2.1,17403009,3415,16170,6043,40831,19649,604,708,792,127,234,335,426,780,953,1103,910,513,58,571,649,60,10.0,1,89,57,0.61,17,13,0.57,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.250,,,1,5.15,5.75,12525,1567,115,10843,120425,16401,16322,5073,51970,8205,1407,14050
VA,47,2000,7105817,3502524,81513,2.30,,,,265182,111.0,6.1,230606161,88933,72573,31864,336080,150452,294,354,410,127,234,335,426,528,689,836,12801,513,0,513,609,577,8.3,0,51,48,0.52,19,21,0.48,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,131942,24530,1455,105957,519345,128163,231718,58756,665276,116060,16340,172300
WA,48,2000,5910512,2898677,151344,5.00,,,,239206,96.0,6.2,194251014,1311034,153057,57008,295061,133481,440,546,642,127,234,335,426,665,840,998,15550,513,27,540,628,634,10.8,1,41,57,0.42,23,26,0.47,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.000,,,0,5.15,6.50,100761,14148,949,85664,781637,145850,193884,53253,465968,84790,11442,114375
WV,49,2000,1807021,764649,44212,5.50,,,,42588,31.0,7.7,39927254,544289,32257,12146,226897,96097,276,328,387,127,234,335,426,510,663,813,3729,513,0,513,609,261,14.7,0,74,26,0.74,25,9,0.74,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,71420,5527,589,65304,258641,50996,92309,21491,201588,53970,9387,85944
WI,50,2000,5373999,2894884,101207,3.40,,,,182603,57.0,3.8,157907304,21543,38056,16719,193021,76633,673,673,673,127,234,335,426,828,929,1020,11174,513,84,597,668,493,9.3,0,46,51,0.47,17,16,0.52,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.040,0.140,0.430,1,5.15,5.15,84887,9771,969,74147,494453,100574,143808,45371,536099,37521,5254,56314
WY,51,2000,494300,256685,10197,3.80,,,,17335,10.0,7.5,14300152,87821,1183,604,22447,8952,320,340,340,127,234,335,426,554,675,766,394,513,10,523,616,52,10.8,0,17,43,0.28,9,21,0.30,0.0765,0.3400,0.4000,353,2353,3888,0.0765,0.1598,0.2106,0.000,,,0,5.15,1.60,5798,559,53,5186,36897,10757,16083,6157,51688,5680,951,8330
AL,1,2001,4467634,2034909,99936,4.70,25.21760,15.96774,4.32368,123819,82.0,6.9,114105566,64036,43555,18368,411292,161372,137,164,194,130,238,341,434,375,505,628,9501,531,0,531,632,696,15.9,1,69,36,0.66,23,12,0.66,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,161522,24500,1115,135907,674008,111049,269669,50396,542346,119762,11965,153415
AK,2,2001,633714,301694,19790,6.20,23.42779,12.38385,2.55782,29087,12.0,5.8,20808479,14910,16997,5847,37897,13184,821,923,1025,160,294,421,535,1100,1299,1484,1082,531,362,893,1017,54,8.5,1,14,26,0.35,5,15,0.25,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.65,9123,1483,124,7516,87961,23628,22325,6858,52310,6775,1043,9797
AZ,3,2001,5273477,2453453,121523,4.70,25.59117,16.33736,4.89664,171517,177.0,11.4,143501911,259562,82595,33194,291372,107799,275,347,418,130,238,341,434,513,688,852,15123,531,0,531,632,778,14.6,0,22,38,0.37,14,16,0.47,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,84796,13186,967,70643,584155,147285,254757,49234,470420,110355,12150,142406
AR,4,2001,2691571,1194024,58656,4.70,32.56033,17.82938,4.64104,71902,60.0,8.3,64181824,35770,27722,11607,256441,102633,162,204,247,130,238,341,434,400,545,681,5133,531,0,531,632,472,17.8,0,74,23,0.76,29,6,0.83,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,85088,13075,954,71059,442376,79826,158839,28763,312901,91435,10007,123930
CA,5,2001,34479458,16220033,932073,5.40,24.11772,15.05919,3.90529,1399772,968.0,9.6,1174488613,1579302,1185399,468747,1668352,622602,505,645,746,130,238,341,434,722,923,1086,171722,531,181,712,759,4321,12.6,1,47,32,0.59,24,15,0.62,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.000,,,0,5.15,6.25,1106294,335458,21896,748940,6747559,1243509,1661756,291420,2613904,690361,77211,846227
CO,6,2001,4425687,2303494,91770,3.80,17.77427,8.85520,2.46316,184827,106.0,8.8,155921560,42815,27132,10639,153952,69408,281,356,432,130,238,341,434,519,697,866,4519,531,37,568,658,383,8.7,0,25,40,0.38,15,20,0.43,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.100,,,1,5.15,5.15,53466,8772,551,44143,300006,72124,115434,33634,321516,38204,6194,57466
CT,7,2001,3432835,1700046,54793,3.10,14.26429,6.61154,1.74789,172668,39.0,4.5,150081313,129787,59860,25943,157031,81857,513,636,741,130,238,341,434,727,916,1083,8778,531,217,748,784,249,7.3,0,96,55,0.64,19,17,0.53,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.000,,,0,5.15,6.40,49586,6973,510,42103,369713,49252,102738,19438,272008,39285,3414,49353
DE,8,2001,795699,404135,14579,3.50,15.98709,8.11227,2.10227,43158,8.0,4.0,27075509,11098,12234,5376,31886,13602,270,338,407,130,238,341,434,508,679,841,2508,531,0,531,632,53,6.7,1,15,26,0.37,13,8,0.62,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.000,,,0,5.15,6.15,12197,1323,122,10752,106125,16568,26659,5747,71670,12132,1309,17305
DC,9,2001,574504,286649,19168,6.30,21.63022,12.18502,2.28514,66260,7.0,5.9,26010340,18545,43013,16241,73494,33344,298,379,463,130,238,341,434,536,720,888,4843,531,0,531,632,101,18.2,,,,,,,,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.250,,,1,5.15,6.15,19973,2356,195,17422,125484,15204,44724,2027,50990,18451,707,20265
FL,10,2001,16356966,7624718,373344,4.70,21.34198,13.89738,4.05794,519531,426.0,10.6,499932010,272036,124586,58849,887256,425955,241,303,364,130,238,341,434,479,644,798,35774,531,0,531,632,2077,12.7,0,47,73,0.39,15,24,0.38,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,386334,93118,3198,290018,1920479,316758,747375,145530,1342800,338381,36109,434777
GA,11,2001,8377038,4112868,170288,4.00,26.54601,15.46521,4.63889,317331,180.0,7.6,247724269,79299,120501,50531,573537,235633,235,280,330,130,238,341,434,473,621,764,24024,531,0,531,632,1069,12.9,1,102,78,0.57,33,22,0.60,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,198063,32433,2233,163397,932349,226365,481018,98362,1083434,264338,34130,378799
HI,12,2001,1225948,589216,26039,4.20,25.84970,14.11821,5.07187,42805,14.0,4.3,36332873,20867,41478,12852,108313,50983,452,570,687,199,366,524,665,818,1094,1340,2194,531,5,536,735,138,11.4,1,38,12,0.76,23,2,0.92,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.25,21303,6812,180,14311,151029,32467,49865,14679,140739,21807,3902,39069
ID,13,2001,1319962,644816,33039,4.90,23.98096,14.21700,3.72860,37838,35.0,8.9,34389180,100293,2246,1290,59667,24034,293,293,293,130,238,341,434,531,634,727,938,531,53,584,669,151,11.5,0,12,58,0.17,4,31,0.11,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.000,,,0,5.15,6.15,18840,1843,204,16793,138410,251329,52297,19537,143895,20108,3141,28987
IL,14,2001,12488445,6113536,350975,5.40,17.40292,8.80965,2.04601,505826,228.0,6.9,421629937,65109,182673,62030,825295,363570,278,377,414,130,238,341,434,516,718,848,22565,531,0,531,632,1249,10.1,0,62,56,0.53,27,32,0.46,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.050,,,0,5.15,5.15,249004,31980,2405,214619,1473912,117880,571563,77818,1071930,170498,10354,205350
IN,15,2001,6127760,3020985,131150,4.20,18.25863,11.41580,3.23713,207423,109.0,6.8,175630054,28095,115543,41299,346551,146509,229,288,346,130,238,341,434,467,629,780,9090,531,0,531,632,511,8.5,1,53,47,0.53,19,31,0.38,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,89118,6889,1060,81169,667896,60664,186154,53528,630733,79038,11121,115312
IA,16,2001,2931997,1568638,53374,3.30,17.82021,9.07394,2.60264,96328,30.0,3.9,83182471,10993,54071,20195,126494,54437,361,426,495,130,238,341,434,599,767,911,8027,531,0,531,632,212,7.4,1,44,56,0.44,20,30,0.40,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.065,,,0,5.15,5.15,40716,4283,798,35635,253150,32641,87376,31929,380864,34785,6624,65743
KS,17,2001,2702162,1347715,60388,4.30,22.14318,11.47287,3.27035,89826,39.0,5.5,80476477,16922,32967,13035,124285,56500,352,429,497,130,238,341,434,590,770,912,4436,531,0,531,632,267,10.1,0,48,77,0.38,13,27,0.33,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.100,,,0,5.15,2.65,36600,3663,370,32567,206562,53260,94906,34406,312712,47419,9176,74523
KY,18,2001,4068132,1852056,102086,5.20,19.38709,10.36362,2.47828,119390,68.0,6.5,104564714,148268,81809,36127,412680,173102,225,262,328,130,238,341,434,463,603,762,15505,531,0,531,632,503,12.6,1,64,35,0.65,18,20,0.47,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,175925,17700,1409,156816,607865,111004,218265,48923,499733,126670,18455,187195
LA,19,2001,4477875,1922110,108777,5.40,28.37463,18.17722,3.69616,140627,123.0,9.7,112354302,33610,65505,25176,518384,198152,138,240,234,130,238,341,434,376,581,668,11802,531,0,531,632,709,16.2,0,75,30,0.71,28,11,0.72,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,166181,23191,1865,141125,735971,125916,349192,54945,634852,187556,16908,237091
ME,20,2001,1285692,650699,25282,3.70,16.91855,9.23899,2.73100,38064,12.0,4.0,36352427,12890,26134,9661,104383,53151,345,461,581,130,238,341,434,583,794,971,2352,531,10,541,639,132,10.3,0,81,69,0.54,19,15,0.56,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.050,,,0,5.15,5.15,30138,3154,231,26753,228105,20962,37695,11228,107012,16004,2861,27689
MD,21,2001,5374691,2712268,114779,4.10,15.34526,8.83613,2.90957,206785,60.0,4.1,197974424,271354,68221,27915,208426,97026,328,439,503,130,238,341,434,566,779,916,9681,531,0,531,632,385,7.2,1,106,35,0.75,32,15,0.68,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.160,,,0,5.15,5.15,89180,15601,742,72837,590803,93829,171053,39836,403446,81012,11321,113173
MA,22,2001,6397634,3275343,125993,3.70,11.28391,6.67654,2.06862,298522,40.0,2.6,254514886,96484,100300,42570,219223,104838,486,633,668,130,238,341,434,708,914,1032,15601,531,129,660,722,561,8.9,0,128,29,0.82,32,8,0.80,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.150,,,1,5.15,6.75,166874,45470,4160,117244,960863,112623,183484,33894,538639,89615,5902,112278
MI,23,2001,9991120,4876338,267531,5.20,19.25067,8.65768,2.59993,352292,106.0,4.1,302064500,72251,193211,70725,641269,285277,371,459,563,130,238,341,434,609,793,958,24349,531,14,545,642,927,9.4,0,52,58,0.47,15,23,0.39,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,210492,18768,1861,189863,1141272,214951,339883,63496,816753,138032,12913,182077
MN,24,2001,4982796,2755808,110216,3.80,13.25046,6.92667,1.89281,198769,38.0,3.0,166030255,119651,112688,38558,197727,93086,437,536,621,130,238,341,434,674,846,999,8608,531,81,612,689,361,7.4,0,63,70,0.47,40,26,0.61,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.330,,,1,5.15,5.15,65538,10081,728,54729,508240,96192,134750,50730,570852,56544,11381,103985
MS,25,2001,2852994,1229884,72680,5.60,29.66774,17.46075,4.24160,67832,57.0,7.0,64981888,26524,35710,15657,297805,115994,146,170,194,130,238,341,434,384,511,628,7977,531,0,531,632,539,19.3,1,86,33,0.72,34,18,0.65,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,128449,20739,1212,106498,560393,98874,251861,36982,398519,143828,12902,175380
MO,26,2001,5641142,2867853,134861,4.50,18.98388,10.57319,3.30234,192255,43.0,2.9,162314241,59513,121364,45556,454427,195480,234,292,342,130,238,341,434,472,633,776,11792,531,0,531,632,537,9.7,1,86,76,0.53,18,16,0.53,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,113258,12007,984,100267,877030,125144,224885,53142,591502,109254,15251,161922
MT,27,2001,906961,447827,21136,4.50,22.38853,13.95225,3.71611,23264,20.0,8.8,22449222,79792,14004,4934,61957,26481,374,494,564,130,238,341,434,612,817,959,1013,531,0,531,632,119,13.3,0,41,59,0.41,18,32,0.36,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,14206,1304,130,12772,75276,21413,29832,8562,77912,11122,1569,15949
NE,28,2001,1719836,925783,30037,3.10,18.93541,10.56851,2.72742,60157,17.0,3.7,51893168,8211,23802,9486,80652,34729,293,364,435,130,238,341,434,531,705,869,3249,531,7,538,637,158,9.4,0,,,,,,,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,21471,2307,246,18918,201838,34427,59733,22774,219261,23059,4077,37578
NV,29,2001,2098399,1042182,58838,5.30,18.47065,10.32043,4.06976,79735,66.0,11.1,66667580,24816,19461,7439,69825,32102,289,348,407,130,238,341,434,527,689,841,2629,531,36,567,657,152,7.1,0,28,14,0.67,9,12,0.43,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,27161,7263,680,19218,108567,40646,58091,14949,120947,25491,3890,36065
NH,30,2001,1255517,680706,24202,3.40,15.12732,6.67564,1.45582,45404,9.0,3.0,44118622,12231,13495,5659,35554,17951,506,600,638,130,238,341,434,722,891,1011,1680,531,27,558,651,81,6.5,1,153,244,0.39,12,12,0.50,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,11942,944,126,10872,83111,16507,18901,7584,105864,7259,1381,16500
NJ,31,2001,8492671,4117543,184797,4.30,16.98324,8.06830,2.02311,372718,113.0,5.5,342165022,262189,113481,45325,317579,144067,322,424,488,130,238,341,434,560,765,906,16701,531,31,562,654,683,8.1,0,32,48,0.40,16,24,0.40,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.150,,,1,5.15,5.15,147747,34101,1067,112579,779095,128577,261522,51523,588152,71287,6199,89532
NM,32,2001,1831690,821003,42679,4.90,28.50069,15.63893,3.74766,57088,58.0,11.0,46186743,27717,55143,19322,163245,62484,360,439,519,130,238,341,434,598,779,928,91,531,0,531,632,323,18.0,0,40,30,0.57,25,17,0.60,0.0765,0.3400,0.4000,364,2428,4008,0.0765,0.1598,0.2106,0.000,,,0,5.15,4.25,47579,8814,554,38211,333567,59464,125627,22075,195228,63442,7825,82774
